data,palavra,pin_id,posicao,saves,comentarios,titulo,dominio,link,imagem,video,criado_em
2026-08-23,look feminino verao,1107533733403458476,2,26,0,,,,https://i.pinimg.com/originals/2e/b9/c4/2eb9c470bb010da41fc7a13aa5336be4.jpg,0,2026-07-29
2026-08-23,look feminino verao,1337074890568893,3,2940,0,,,,https://i.pinimg.com/originals/8b/42/57/8b4257062a007f96a9df572c419ba4d0.jpg,0,2026-07-20
2026-08-23,look feminino verao,Acn2I_6ZIrZz5MgMDPSlN1-Nm3drBOq0XtgnROZ7nfO9nlOogLR3SQAzdE03mYeOtVEtmYJMEfbccLirVHGOWk8,4,7808,0,Looks Expensive But It's,amzlink.to,https://amzlink.to/az0u2a9l3C7cj,https://i.pinimg.com/originals/25/77/be/2577befbd11f92940b084e862b4080eb.png,0,2026-02-04
2026-08-23,look feminino verao,23221754325393925,5,98,0,19 Chic Summer Outfits for Women 2026 | Elegant Vacation Style Ideas,,,https://i.pinimg.com/originals/50/6d/a5/506da50fd7e216f84e89727baf99006a.jpg,0,2026-08-15
2026-08-23,look feminino verao,AWhAycY7GARmpWpyJZLJxq3Uj5pgo8WKZnPNSv-qhRQfuh7Fd-5Ck0fjOx4L-McUBPAmrqkNBNBcp6SlCBE_4jU,6,109,0,Wholesale Women‚Äôs,shopify.com,https://www.shopify.com/blog/wholesale-womens-clothing,https://i.pinimg.com/originals/38/12/13/381213fb54a1cb72673440943c543cc6.jpg,0,2025-05-16
2026-08-23,look feminino verao,886998089132377649,7,13,0,Beach Chic Outfit with White Crop Top & Shorts ☀️🤍,,,https://i.pinimg.com/originals/be/ff/26/beff26d4a20cc30707fb42433befca7d.png,0,2026-08-17
2026-08-23,look feminino verao,5981412002617848,8,1168,0,Effortless Street Style: Shorts Then and Now,,,https://i.pinimg.com/originals/cb/61/e2/cb61e2b1b1fbfde098a9d197af09175d.png,0,2026-06-29
2026-08-23,look feminino verao,299489443998705721,9,45,0,Women's Light Blue Striped Shirt with White Shorts | Chic Summer Vacation Outfit 2026,,,https://i.pinimg.com/originals/a1/f7/0f/a1f70f03169b7a9ab0817b54b48d9f59.png,0,2026-08-17
2026-08-23,look feminino verao,AQV59LKYNzOcrdTUWFE2Or-hVk43Nv7IO6UZ-n5lg4cwmxPb5oHVK-qvolkGKHWMWUVu37fcTqLlkbJmOloEk28,10,201,0,Amazon Vacation Outfit,amzlink.to,https://amzlink.to/az0o5MsP3zKuV,https://i.pinimg.com/originals/d8/8a/96/d88a9671a3017d18787c73ab3de51be8.png,0,2026-05-22
2026-08-23,look feminino verao,AR3Kxwcc22bhWTj5HN77WS0yJQVSCw5ZEMyJz4WL880zhMIdic6YvHyDHhXkWPaLcscidaKgvcqE9mep-xaDlfQ,11,408,0,Luxury-Inspired Amazon,amzlink.to,https://amzlink.to/az0KozhwDROKZ,https://i.pinimg.com/originals/ba/f7/13/baf7133b4344967c8b2af6a99c7ddda8.png,0,2026-05-14
2026-08-23,look feminino verao,1125055550695485669,12,1,0,conjunto de verão | look casual chic | outfit inspiration | moda verão,onelink.shein.com,https://onelink.shein.com/47/5yuwtzwt2kd8,https://i.pinimg.com/originals/33/91/da/3391da475e776109cbc7eb0f28183e20.png,0,2026-08-14
2026-08-23,look feminino verao,1104507877403399811,13,2,0,Summer Chic White Linen Outfit for Women,,,https://i.pinimg.com/originals/53/80/e4/5380e4d76c28b6474fa881b203731617.jpg,0,2026-08-07
2026-08-23,look feminino verao,563018699946328,14,4509,0,Old Money Summer Outfit Ideas for Women 2026 | Chic White Linen Outfit Inspiration | Elegant Minimal,,,https://i.pinimg.com/originals/d0/df/c9/d0dfc9d61057be105a8eefb3e499d3fa.png,0,2026-08-15
2026-08-23,look feminino verao,1121959326098819609,15,16,0,Look Marrom e Branco Elegante para Dias Quentes,s.shopee.com.br,https://s.shopee.com.br/AKZabTSSXB?channel_type=pinterest,https://i.pinimg.com/originals/41/69/a9/4169a97c81710372ef6b328884a64177.png,0,2026-08-07
2026-08-23,look feminino verao,1900024840183220,16,2315,0,,,,https://i.pinimg.com/originals/bb/15/86/bb1586d4c840da52a402bc716673905d.jpg,0,2026-08-03
2026-08-23,look feminino verao,187743878210988292,17,24,0,Conjunto de Moda Feminina Primavera/Verão💙,onelink.shein.com,https://onelink.shein.com/44/5x28gpd9jlje,https://i.pinimg.com/originals/1d/9c/26/1d9c26e0921f0d78baf7f9763a766e3a.jpg,0,2026-08-11
2026-08-23,look feminino verao,56435801578435850,18,163,0,🤎🤍,,,https://i.pinimg.com/originals/82/bb/59/82bb595a825d66da2db638f854f3f150.jpg,0,2026-06-17
2026-08-23,look feminino verao,AT3tXt3iqckDKsjho8fG5BHJ15yOQb8wix1KlVUP68R_a3oAF1vUQGIteyCbUabJMI04yAbTsrqobHDgyPaWSRU,19,186,0,Comfy Pool Side Outfit,amzn.markable.ai,https://amzn.markable.ai/GbyFgBmD,https://i.pinimg.com/originals/61/52/9e/61529e037d231f223e5dc8d2aad5dc01.png,0,2026-03-04
2026-08-23,look feminino verao,AfqdhRm5gNfoZClqtQRfPvAPu9J4DkcD9_aJsOS2jC-6RLT_DannROgIZ9IQ8cpiWdNLuaYU3LATXhN0hHJ5Qkw,20,1,0,Women's High-Waisted,us.shein.com,https://us.shein.com/ark/default?scene=1&test=5051&ad_type=DPA&goods_id=465734155&pf=PINTEREST&url_from=PINADSDPA&ismg=3d1d49734699ca190318021d8f075007887399daec463a28463d8a7b9b6d6b6a_01_1787416977,https://i.pinimg.com/originals/2c/4a/25/2c4a25865d38f6c4ba2a4c01d981dd2c.jpg,0,2026-07-12
2026-08-23,look feminino verao,ATSOTGmf4k10wM4SOk63P3JBqAhhRE7tcJqMxyS--gJa1sZZzH9JoRP5sn1SX4WRWxWVVBVoRmxmv7nQ__jz-w4,21,340,0,Two Piece Summer Sets,amzlink.to,https://amzlink.to/az0TpxsAVRAWX,https://i.pinimg.com/originals/27/3e/96/273e963fae97dc1733a4736809ccf20d.jpg,0,2026-07-17
2026-08-23,look feminino verao,1144055111624556255,22,1,0,conjunto feminino estiloso shein ✨,onelink.shein.com,https://onelink.shein.com/47/5yhm1xj93b53?ismg_ol=c9b31a4b7a7920f45531dbadd67ba65b4e50d79c71740601f97fab69c428c21a_01_KOC-C,https://i.pinimg.com/originals/b5/29/42/b52942ccc7b3253566e1c6d71e6f9ef4.jpg,0,2026-08-10
2026-08-23,look feminino verao,ASuaanpIpSW3jSC-01c5PsuyiG665cQAEvEKxlSF2lbqAbSMBq5dcl0pVvd04_pWbDTBGj1j6bHCtVtHpG3hIDs,23,1,0,Resort Wear from Amazon,urlgeni.us,https://urlgeni.us/amazon/greenresortcollage,https://i.pinimg.com/originals/85/9a/87/859a87e87b985a0128e61d4720a43bf0.png,0,2026-02-03
2026-08-23,look feminino verao,1133359062504437855,24,20,0,"Golden Hour, Timeless Style ✨",,,https://i.pinimg.com/originals/39/c1/0a/39c10aaa8e0eeeec0087b1506fea4bb4.jpg,0,2026-08-03
2026-08-23,look feminino verao,1688918605198117,25,41167,0,,,,https://i.pinimg.com/originals/64/d5/d2/64d5d2847da817525b2c53b31ceaf47c.jpg,0,2024-06-22
2026-08-23,look feminino verao,1102889396321363029,26,21,0,,,,https://i.pinimg.com/originals/c6/97/d2/c697d2bb2363cd38bb8f7c21e2763aaf.jpg,0,2026-08-04
2026-08-23,look feminino verao,1152077148490474285,27,2,0,Conjunto Feminino Casual Elegante de Verão para Escritório em Azul Marinho e Branco,onelink.shein.com,https://onelink.shein.com/47/5ypkugkc6ip5,https://i.pinimg.com/originals/17/28/25/172825bf7f4e3b64ee9534572d77fd8a.jpg,0,2026-08-13
2026-08-23,look feminino verao,ASIgrKdNJNX_tXGC8WekoNziXYBdimlL7cypYA0Gem5QrlY3UDwdgbfYY7BH5U4DojYYwdto6AIOvcLjiZjhr-c,28,3022,0,Amazon Vacation Edit for,urlgeni.us,https://urlgeni.us/amzn/jzDYGv,https://i.pinimg.com/originals/69/ed/61/69ed610b7a037c5cc0c97be59e825aef.png,0,2026-01-15
2026-08-23,look feminino verao,308285537017244526,29,10,0,15 Casual Chic Outfits That Look Effortlessly Put Together,outfitfindsmood.com,https://outfitfindsmood.com/15-chic-casual-2026-outfit-ideas-every-woman-will-love/,https://i.pinimg.com/originals/e8/c8/6c/e8c86c155bff183c5c4da3571b64e451.png,0,2026-08-17
2026-08-23,look feminino verao,AUFg0n34NGFbI2FsIfq_KFk-0D4S4EIaFfl3CtW-I8mXnf7Du0K5B_WDGIPVYhxOU4jKeQ07wQyRR27oB5iWKIY,30,0,0,Shop Viral Amazon,amzlink.to,https://amzlink.to/az0I7GnnQBfda,https://i.pinimg.com/originals/25/47/fc/2547fccb521e9e231453b60e8ef49ee4.jpg,1,2026-08-05
2026-08-23,look feminino verao,1108448527065315163,31,3,0,✨ Estilo clássico com um toque moderno,s.shopee.com.br,https://s.shopee.com.br/5fnhF9EtZp?channel_type=pinterest,https://i.pinimg.com/originals/1d/9b/c5/1d9bc5f0fba6edbd37badb5044d5e47c.png,0,2026-08-04
2026-08-23,look feminino verao,307511480832507012,32,27,0,30 Outfit Ideas for Hourglass Body to Flatter Your Shape,sewmamasew.com,https://www.sewmamasew.com/30-outfit-ideas-for-hourglass-body/,https://i.pinimg.com/originals/9f/e9/8f/9fe98f52e655a4d14b4ee0e8f3d58ebe.jpg,0,2026-08-14
2026-08-23,look feminino verao,1044624076089716916,33,480,0,20+ Summer Outfit Inspo 2026 ☀️ | Trendy & Cute Summer Fashion Ideas,amazon.com,https://www.amazon.com/shop/influencer-7ca27c6e/list/73L0V00DVFAL?ref_=aipsflist,https://i.pinimg.com/originals/2b/d4/20/2bd420fd4045759d2f159940848ffcf6.jpg,0,2026-05-29
2026-08-23,look feminino verao,64317100923015912,34,175,0,looks para se inspirar,shope.ee,https://shope.ee/4pnmn7hkaR,https://i.pinimg.com/originals/f3/b5/bf/f3b5bf35f05e47b9e39a4c8dd9e99d31.jpg,0,2023-12-11
2026-08-23,look feminino verao,6122149488972528,35,873,0,,,,https://i.pinimg.com/originals/4b/51/05/4b5105c47dfbfd17cc7dbd9194f87913.jpg,0,2026-04-11
2026-08-23,look feminino verao,22588435628686119,36,228,0,,,,https://i.pinimg.com/originals/a6/55/82/a6558239f68914453645a01955372fbf.jpg,0,2026-08-14
2026-08-23,look feminino verao,1266706142272990,37,1990,0,40 Summer Chic Outfit Ideas for Effortless Elegance,sewmamasew.com,https://www.sewmamasew.com/40-summer-chic-outfit-ideas/,https://i.pinimg.com/originals/b6/3e/3b/b63e3ba5915af0931a47eccaed7e15d2.jpg,0,2026-08-09
2026-08-23,look feminino verao,1059823724839900528,38,2,0,Vestido Feminino Floral Azul e Branco com Babados | Look de Verão,s.shopee.com.br,https://s.shopee.com.br/7psLZSXFJA?channel_type=pinterest,https://i.pinimg.com/originals/8d/ea/ec/8deaec42a6b899031d19d15bb66479e0.jpg,0,2026-08-10
2026-08-23,look feminino verao,1095922890604247484,39,23,0,,hotwebx.netlify.app,https://hotwebx.netlify.app/?u=https://dijbi.com/cheerleader-exactly-captured-right-moment/%3Futm_campaign%3Dengineer%26utm_source%3Dloli%26utm_medium%3Dsocial,https://i.pinimg.com/originals/4a/a0/d4/4aa0d427624000a6fdeef821ef26499d.jpg,0,2026-08-02
2026-08-23,look feminino verao,170925748355721914,40,60,0,Outfit casual de mujer para verano con conjunto blanco y bolso de ratán,onelink.shein.com,https://onelink.shein.com/39/5tsefrh9tijl,https://i.pinimg.com/originals/74/a6/d6/74a6d6307a7a87e9d3edc52ccfb9af7f.jpg,0,2026-07-17
2026-08-23,look feminino verao,75435362505563953,41,176,0,Street Fashion 2026,,,https://i.pinimg.com/originals/49/63/0c/49630ce7af893e5942d181d5fe5237bf.jpg,0,2026-07-28
2026-08-23,look feminino verao,AauLcqZ5Burx-ryIz5Fr-BYmankc5KPul1fkpggcAFKYxdVLUfl3B5Ks82Cwi6hr7uzmqLFHdG98rFNg_IT8q4s,42,0,0,THLAI Summer Women 2,amazon.com,https://www.amazon.com/THLAI-Summer-Outfits-Smocked-Vacation/dp/B0F83WSVMR/ref=asc_df_B0F83WSVMR?hvdev=%7Bdevice%7D&hvcampaign=%7Bcampaignid%7D&hvadgroupid=%7Badgroupid%7D&hvprdptid=%7Bproduct_partition_id%7D&hvprdgrpid=%7Bpromoted_product_group_id%7D&hvcr=%7Bcreative_id%7D&hvadid=%7Badid%7D&hvprdid=%7Bproduct_id%7D&hvplc=%7Bplacement%7D&psc=1&tag=%7Bifnotmobile:ushpadpinde-20%7D%7Bifmobile:ushpad,https://i.pinimg.com/originals/fc/05/75/fc057562b8c89f6e8a07bc06a05b5ca5.jpg,0,2026-06-05
2026-08-23,look feminino verao,1055601600177917713,43,335,0,,,,https://i.pinimg.com/originals/df/b6/b4/dfb6b48a12b1fb48a905e0d15dd3bfe6.jpg,0,2026-05-28
2026-08-23,look feminino verao,50102614600562548,44,176,0,✨ Chic Summer Shorts Outfit for Women | Effortless Old Money Style 2026,,,https://i.pinimg.com/originals/77/f4/6a/77f46a4d8d197fae963e2eaf04cc1986.png,0,2026-08-17
2026-08-23,look feminino verao,921408405052260417,45,5,0,"Look fresh, elegante e fácil de copiar 🤍✨",onelink.shein.com,https://onelink.shein.com/47/5ypfd7g3sc97,https://i.pinimg.com/originals/4f/fc/5c/4ffc5c446b5d048af13d43ae49e02cf5.jpg,0,2026-08-14
2026-08-23,look feminino verao,1337074890589220,46,770,0,Fashion-forward ❤️‍🔥,amzn.to,https://amzn.to/4vglLNQ,https://i.pinimg.com/originals/bf/21/0e/bf210e8c5659cd0e7990958a2da2eb47.jpg,0,2026-07-28
2026-08-23,look feminino verao,1102748658788695827,47,1004,0,beach outfit for girls,youtube.com,https://www.youtube.com/@outfitzillaa,https://i.pinimg.com/originals/7e/c0/18/7ec0186a6a43356209021fe1079fcd4b.png,0,2026-05-26
2026-08-23,look feminino verao,19632948379009486,48,12130,0,,,,https://i.pinimg.com/originals/cb/97/47/cb97473056679952ec48019de7f7bb01.jpg,0,2024-05-13
2026-08-23,look feminino verao,11892386514353732,49,312,0,25 Florence Outfit Ideas for Dreamy Italian Travel Style,sewmamasew.com,https://www.sewmamasew.com/25-florence-outfit-ideas/,https://i.pinimg.com/originals/fb/60/c0/fb60c02ca24f15f1d48dc66dc6fed711.jpg,0,2026-08-13
2026-08-23,look feminino verao,AWPci2pMX6Lh_WKVrXpOXEnmoOIe5NtxeIpa4XKSz1Jg7dAPGMGakKnA1axu4qjSacempFb9E46dVNugWLtTEe8,50,0,0,Your passport to summer,poshmark.com,https://poshmark.com/?utm_source=pinterest&utm_medium=paidsocial&utm_campaign=%7Bcampaignid%7D&utm_content=%7Badgroupid%7D_%7Badid%7D_%7Bdevice%7D,https://i.pinimg.com/originals/cb/5a/60/cb5a602434dcc993928dcc0677a3c122.jpg,1,2026-05-20
2026-08-23,look feminino verao,1127025875538279857,51,1940,0,,,,https://i.pinimg.com/originals/99/58/f1/9958f1127004efe456fe0b0b02b3718d.jpg,0,2026-07-07
2026-08-23,look feminino verao,875176140112679794,52,40,0,Look Boho Romântico: Inspire-se com Esse Cropped Floral,onelink.shein.com,https://onelink.shein.com/40/5u7y81jap91t,https://i.pinimg.com/originals/c0/aa/3f/c0aa3f6ad888c77c5a3c03113dcb661a.png,0,2026-06-29
2026-08-23,look feminino verao,AUGLO2_g7V0-FPTJ0OBHz-XH2JXL1S9TR622K_KNY7TzU3Vn3pJxKvkGpnmz1D97pv1MkiTDrjejoPUslm9-Wqk,53,853,0,Amazon Vacation Pieces,amzlink.to,https://amzlink.to/az0pLC35b6FjT,https://i.pinimg.com/originals/33/da/2a/33da2a48e16a2100791617b8977b52d8.jpg,0,2026-02-06
2026-08-23,look feminino verao,4605915862036078976,54,491,0,30 Beach Club Outfit Ideas for an Effortlessly Chic Day,sewmamasew.com,https://www.sewmamasew.com/30-beach-club-outfit-ideas/,https://i.pinimg.com/originals/cc/36/01/cc3601d1adc344f5597d7d9c4363e95e.jpg,0,2026-05-16
2026-08-23,look feminino verao,AQw5ZKjr0Pyyp3tVUmh0FNdsrvwiy_vzEgDWOA_2hAA-nWJM0PDYnbzo7o98vUXgI-ui5K1_ECBF96xY51NhTrA,55,30,0,Find fall outfits at,kohls.com,https://www.kohls.com/catalog/womens-fall.jsp?CN=Gender:Womens+Occasion:Fall&BST=8366642:8092918&icid=social-paid-pncrsl-trendingwomensfallcoloroutfits-np-2608wk3-frame1&cid=SO26PDPIN0652&utm_campaign=paid_social&utm_medium=paid_social&utm_source=pinterest&utm_content=2026pdpin652,https://i.pinimg.com/originals/e9/7e/f6/e97ef631d9ca2f0d84ed8ca026eb2bcc.png,0,2026-08-17
2026-08-23,look feminino verao,AXAf2KQxqP7kwQ7hSnbfe12rad4JQEJKrZNpNnSLBQeCgJ4USa5Lh2RmKM4cBUCkUSSsnU62PDrAD78bwRjC4dg,56,1216,0,Vacation Ready Summer,amzlink.to,https://amzlink.to/az0oAuRbbp6jQ,https://i.pinimg.com/originals/a5/8e/96/a58e963860e9c6b41e1c091edf9a2b1a.png,0,2026-04-24
2026-08-23,look feminino verao,AU6pGQD7c-MXw2FCIdfoBLSNT6TgBw-LzshqUTsTw1VMvPOOxdS4_Kci35a4u5qyDF1xb0vHP7qAYKatTxn6ydQ,57,486,0,Coastal Vacation Resort,amzlink.to,https://amzlink.to/az0dkoEBjqc3U,https://i.pinimg.com/originals/78/82/95/7882951eb9162bafaf794c83ca4eb58f.png,0,2026-03-10
2026-08-23,look feminino verao,310185493111891701,58,10,0,Effortless Summer Outfit Ideas | Chic Linen Shirt & White Shorts Street Style ☀️🤍,,,https://i.pinimg.com/originals/5c/18/59/5c185968f717b8e870ab65c9c7456996.png,0,2026-08-10
2026-08-23,look feminino verao,5136987071280018,59,2716,0,,,,https://i.pinimg.com/originals/3c/e5/a7/3ce5a79595fa291594aaa974646e8a3f.jpg,0,2026-06-26
2026-08-23,look feminino verao,1120622319805666382,60,343,0,10 Elegant Old Money Beach Outfits Part 2 🌴 | Luxury Summer Vacation Style Ideas 2026,youtu.be,https://youtu.be/ChLJIur2U9o,https://i.pinimg.com/originals/49/be/70/49be70be323ae1db93dac21ae77fe94d.png,0,2026-06-13
2026-08-23,look feminino verao,Aa-nVxcrOOzpYjONg6EkhhqwLhO1wHlVphXA0__YD9PpRNhjETZHXO8eTDrQUQjNyrmLuRi871GaMMc2UuMu88E,61,1,0,Elegant White Backless,us.shein.com,https://us.shein.com/ark/default?scene=1&test=5051&ad_type=DPA&goods_id=468496401&pf=PINTEREST&link_type=link&url_from=PINADSDPA&ismg=c4e756fb3483fd23aa5e2685dcc3186e1d50b362d1dff1ddd8cd0609fdba5201_01_1787416676,https://i.pinimg.com/originals/a3/81/56/a3815612339c85942e6092837a87b102.jpg,0,2026-07-18
2026-08-23,look feminino verao,1196337405795548,62,1026,0,,,,https://i.pinimg.com/originals/fe/f3/e3/fef3e34dd08d84ded8547d6bea639e3c.jpg,0,2026-07-28
2026-08-23,look feminino verao,AZezQH3hqrkjejFeMo_6Li7Kxl73-uRHrxWnzFWOjI7QuU3L4Crb3KGiKWBKmKsC4d_UlhM5AhUOU5Mn_7Lffp0,63,113,0,Patriotic Outfit Idea,amzn.markable.ai,https://amzn.markable.ai/GcH2bPxm,https://i.pinimg.com/originals/33/d9/d1/33d9d1f4be94105738969c78463a917a.png,0,2026-04-27
